ID	altura	diametro	inclinación	especie	origen	brotes
246	6	30	0	Ceibo	Nativo/Autóctono	4
405	16	50	0	Eucalipto	Exótico	2
455	22	34	0	Eucalipto	Exótico	4
567	22	34	0	Eucalipto	Exótico	2
589	22	34	0	Eucalipto	Exótico	4
676	22	34	0	Eucalipto	Exótico	4
847	22	34	0	Eucalipto	Exótico	3
858	22	34	0	Eucalipto	Exótico	4
871	22	34	0	Eucalipto	Exótico	4
926	21	32	0	Eucalipto	Exótico	3
961	21	32	0	Eucalipto	Exótico	5
1026	21	32	0	Eucalipto	Exótico	4
1033	21	32	0	Eucalipto	Exótico	3
1040	21	32	0	Eucalipto	Exótico	3
1486	7	7	0	Álamo	Exótico	3
1678	8	75	6	Eucalipto	Exótico	2
1797	30	174	15	Eucalipto	Exótico	5
1826	39	120	9	Eucalipto	Exótico	2
1908	25	105	10	Eucalipto	Exótico	4
2136	20	50	0	Eucalipto	Exótico	5
2482	35	150	0	Eucalipto	Exótico	3
2658	11	52	10	Palo borracho	Nativo/Autóctono	7
2677	26	90	14	Eucalipto	Exótico	4
2963	13	88	0	Palo borracho	Nativo/Autóctono	4
2988	20	70	0	Casuarina	Exótico	5
3048	15	20	0	Acacia	Exótico	4
3551	21	56	7	Jacarandá	Nativo/Autóctono	6
3668	19	82	0	Jacarandá	Nativo/Autóctono	6
3751	15	50	15	Jacarandá	Nativo/Autóctono	5
3787	4	12	10	Ficus	Exótico	1
3907	9	27	15	Jacarandá	Nativo/Autóctono	4
4405	7	25	5	Palo borracho	Nativo/Autóctono	3
4514	11	24	0	Eucalipto	Exótico	2
5056	14	28	0	Jacarandá	Nativo/Autóctono	4
5067	15	42	0	Palo borracho	Nativo/Autóctono	5
5146	5	12	0	Fresno	Exótico	4
5147	7	12	0	Fresno	Exótico	4
5972	11	32	6	Jacarandá	Nativo/Autóctono	5
6082	3	2	0	Jacarandá	Nativo/Autóctono	6
6319	3	5	0	Acacia	Exótico	4
6474	25	46	0	Eucalipto	Exótico	4
6516	15	33	0	Palo borracho	Nativo/Autóctono	6
6733	13	57	6	Jacarandá	Nativo/Autóctono	3
6989	17	22	0	Álamo	Exótico	4
6993	17	25	6	Álamo	Exótico	4
7032	10	22	0	Fresno	Exótico	3
7207	3	3	25	Jacarandá	Nativo/Autóctono	6
7335	8	15	0	Eucalipto	Exótico	3
7347	15	53	22	Casuarina	Exótico	3
7369	16	42	0	Palo borracho	Nativo/Autóctono	6
7580	17	54	5	Palo borracho	Nativo/Autóctono	6
7719	9	55	4	Palo borracho	Nativo/Autóctono	5
7931	14	54	0	Palo borracho	Nativo/Autóctono	4
8099	7	21	0	Jacarandá	Nativo/Autóctono	7
8247	14	62	0	Jacarandá	Nativo/Autóctono	4
8269	14	36	0	Acacia	Exótico	3
8273	10	26	0	Palo borracho	Nativo/Autóctono	3
8373	12	48	0	Fresno	Exótico	3
8965	19	13	0	Eucalipto	Exótico	3
9009	6	12	9	Fresno	Exótico	4
9196	30	170	0	Eucalipto	Exótico	4
9298	8	22	0	Palo borracho	Nativo/Autóctono	4
9317	5	8	0	Acacia	Exótico	2
9320	13	21	15	Jacarandá	Nativo/Autóctono	5
9426	12	26	20	Jacarandá	Nativo/Autóctono	8
9512	6	28	15	Palo borracho	Nativo/Autóctono	2
9713	15	10	10	Fresno	Exótico	4
9858	3	3	7	Álamo	Exótico	4
9976	24	110	0	Eucalipto	Exótico	3
10165	19	37	0	Palo borracho	Nativo/Autóctono	5
10242	8	20	0	Fresno	Exótico	2
10263	14	18	0	Álamo	Exótico	4
10478	12	24	0	Álamo	Exótico	3
10497	18	15	0	Álamo	Exótico	4
